region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4420031030,44,200,310,30,4420031030,4420031030,충청남도 아산시 송악면 거산리,10,,4420031000,거산리,
4420031031,44,200,310,31,4420031031,4420031031,충청남도 아산시 송악면 강장리,11,,4420031000,강장리,
4420031032,44,200,310,32,4420031032,4420031032,충청남도 아산시 송악면 수곡리,12,,4420031000,수곡리,
4420031033,44,200,310,33,4420031033,4420031033,충청남도 아산시 송악면 동화리,13,,4420031000,동화리,
4420033000,44,200,330,00,4420033000,4420033000,충청남도 아산시 탕정면,23,,4420000000,탕정면,
4420033021,44,200,330,21,4420033021,4420033021,충청남도 아산시 탕정면 용두리,1,,4420033000,용두리,
4420033022,44,200,330,22,4420033022,4420033022,충청남도 아산시 탕정면 명암리,2,,4420033000,명암리,
4420033023,44,200,330,23,4420033023,4420033023,충청남도 아산시 탕정면 동산리,3,,4420033000,동산리,
4420033024,44,200,330,24,4420033024,4420033024,충청남도 아산시 탕정면 호산리,4,,4420033000,호산리,
4420033025,44,200,330,25,4420033025,4420033025,충청남도 아산시 탕정면 매곡리,5,,4420033000,매곡리,
4420033026,44,200,330,26,4420033026,4420033026,충청남도 아산시 탕정면 갈산리,6,,4420033000,갈산리,
4420035000,44,200,350,00,4420035000,4420035000,충청남도 아산시 음봉면,24,,4420000000,음봉면,
4420035021,44,200,350,21,4420035021,4420035021,충청남도 아산시 음봉면 삼거리,1,,4420035000,삼거리,
4420035022,44,200,350,22,4420035022,4420035022,충청남도 아산시 음봉면 동천리,2,,4420035000,동천리,
4420035023,44,200,350,23,4420035023,4420035023,충청남도 아산시 음봉면 신수리,3,,4420035000,신수리,
4420035024,44,200,350,24,4420035024,4420035024,충청남도 아산시 음봉면 신정리,4,,4420035000,신정리,
4420035025,44,200,350,25,4420035025,4420035025,충청남도 아산시 음봉면 산정리,5,,4420035000,산정리,
4471037024,44,710,370,24,4471037024,4471037024,충청남도 금산군 진산면 삼가리,4,,4471037000,삼가리,
4471037025,44,710,370,25,4471037025,4471037025,충청남도 금산군 진산면 오항리,5,,4471037000,오항리,
4471037026,44,710,370,26,4471037026,4471037026,충청남도 금산군 진산면 석막리,6,,4471037000,석막리,
4420035026,44,200,350,26,4420035026,4420035026,충청남도 아산시 음봉면 원남리,6,,4420035000,원남리,
4420035027,44,200,350,27,4420035027,4420035027,충청남도 아산시 음봉면 소동리,7,,4420035000,소동리,
4420035028,44,200,350,28,4420035028,4420035028,충청남도 아산시 음봉면 신휴리,8,,4420035000,신휴리,
4420035029,44,200,350,29,4420035029,4420035029,충청남도 아산시 음봉면 의식리,9,,4420035000,의식리,
4420035030,44,200,350,30,4420035030,4420035030,충청남도 아산시 음봉면 쌍암리,10,,4420035000,쌍암리,
4420035031,44,200,350,31,4420035031,4420035031,충청남도 아산시 음봉면 쌍룡리,11,,4420035000,쌍룡리,
4420035032,44,200,350,32,4420035032,4420035032,충청남도 아산시 음봉면 월랑리,12,,4420035000,월랑리,
4420035033,44,200,350,33,4420035033,4420035033,충청남도 아산시 음봉면 산동리,13,,4420035000,산동리,
4420035034,44,200,350,34,4420035034,4420035034,충청남도 아산시 음봉면 덕지리,14,,4420035000,덕지리,
4420035035,44,200,350,35,4420035035,4420035035,충청남도 아산시 음봉면 동암리,15,,4420035000,동암리,
4420035036,44,200,350,36,4420035036,4420035036,충청남도 아산시 음봉면 송촌리,16,,4420035000,송촌리,
4420036000,44,200,360,00,4420036000,4420036000,충청남도 아산시 둔포면,25,,4420000000,둔포면,
4420036021,44,200,360,21,4420036021,4420036021,충청남도 아산시 둔포면 둔포리,1,,4420036000,둔포리,
4420036022,44,200,360,22,4420036022,4420036022,충청남도 아산시 둔포면 송용리,2,,4420036000,송용리,
4420036023,44,200,360,23,4420036023,4420036023,충청남도 아산시 둔포면 시포리,3,,4420036000,시포리,
4420036024,44,200,360,24,4420036024,4420036024,충청남도 아산시 둔포면 신법리,4,,4420036000,신법리,
4420036025,44,200,360,25,4420036025,4420036025,충청남도 아산시 둔포면 신남리,5,,4420036000,신남리,
4420036026,44,200,360,26,4420036026,4420036026,충청남도 아산시 둔포면 신항리,6,,4420036000,신항리,
4420036027,44,200,360,27,4420036027,4420036027,충청남도 아산시 둔포면 관대리,7,,4420036000,관대리,
4420036028,44,200,360,28,4420036028,4420036028,충청남도 아산시 둔포면 산전리,8,,4420036000,산전리,
4420036029,44,200,360,29,4420036029,4420036029,충청남도 아산시 둔포면 신양리,9,,4420036000,신양리,
4420036030,44,200,360,30,4420036030,4420036030,충청남도 아산시 둔포면 봉재리,10,,4420036000,봉재리,
4420036031,44,200,360,31,4420036031,4420036031,충청남도 아산시 둔포면 운교리,11,,4420036000,운교리,
4420036032,44,200,360,32,4420036032,4420036032,충청남도 아산시 둔포면 석곡리,12,,4420036000,석곡리,
